episode,description,rating,number of votes,air date,Season,Episode,Title
S8.E20 ∙ Islands Part 1: The Invitation,"Consequences regarding Susan's last sent message appear at the Candy Kingdom's shore, bringing about new questions and mysteries leading Finn, Jake and Susan to embark on a new adventure.",8.5,1.3K,"Mon, Jan 30, 2017",8,20,Islands Part 1: The Invitation
S8.E21 ∙ Islands Part 2: Whipple the Happy Dragon,"After a mysterious craft lands in Ooo, Finn, Jake, Susan Strong, set sail for the Island that it originated, hoping to learn the truth about the past and what happened to the humans.",8.0,1.3K,"Mon, Jan 30, 2017",8,21,Islands Part 2: Whipple the Happy Dragon
S8.E22 ∙ Islands Part 3: Mysterious Island,"After waking up alone and shipwrecked, Finn investigates a bizarre island in search of his friends.",8.5,1.3K,"Tue, Jan 31, 2017",8,22,Islands Part 3: Mysterious Island
S8.E23 ∙ Islands Part 4: Imaginary Resources,"Finn and Jake find BMO, who is enjoying newfound fame and popularity in a new land.",8.4,1.3K,"Tue, Jan 31, 2017",8,23,Islands Part 4: Imaginary Resources
S8.E24 ∙ Islands Part 5: Hide and Seek,"Susan strong has flashbacks to her life when she was younger, and starts remembering who she actually is.",9.2,1.4K,"Wed, Feb 1, 2017",8,24,Islands Part 5: Hide and Seek
S8.E25 ∙ Islands Part 6: Min and Marty,Susan drops a big surprise on Finn and questions about his past are answered.,9.6,1.7K,"Wed, Feb 1, 2017",8,25,Islands Part 6: Min and Marty
S8.E26 ∙ Islands Part 7: Helpers,Finn finally finds what he was looking for but things are not the way he expected them to be. Susan sees someone from her past life.,9.3,1.5K,"Thu, Feb 2, 2017",8,26,Islands Part 7: Helpers
S8.E27 ∙ Islands Part 8: The Light Cloud,Finn decides to leave the island and tries to get everyone else to come with him as well.,9.5,1.6K,"Thu, Feb 2, 2017",8,27,Islands Part 8: The Light Cloud
S9.E1 ∙ Orb,"During the journey home from their sea-faring adventure; Finn, Jake, and BMO encounter a mysterious force that enters their dreams.",8.1,1.3K,"Fri, Apr 21, 2017",9,1,Orb
S9.E2 ∙ Elements Part 1: Skyhooks,"Finn, Jake, and BMO return from their voyage to a radically changed Ooo.",8.6,1.3K,"Mon, Apr 24, 2017",9,2,Elements Part 1: Skyhooks
S9.E3 ∙ Elements Part 2: Bespoken For,"The friends learn the story of what happened to Ooo, while Betty continues her attempt to reach Simon, but she's interrupted by someone out to steal her magic.",8.7,1.3K,"Mon, Apr 24, 2017",9,3,Elements Part 2: Bespoken For
S9.E4 ∙ Elements Part 3: Winter Light,"Finn, Jake and Ice King break into the Ice World to confront the power-hungry evildoer responsible for the chaos in Ooo and try to rescue Betty.",8.5,1.3K,"Tue, Apr 25, 2017",9,4,Elements Part 3: Winter Light
S9.E5 ∙ Elements Part 4: Cloudy,"After taking a nap, Finn and Jake get separated from Betty and the Ice King. They need to get back and Jake needs to go pee.",8.2,1.3K,"Tue, Apr 25, 2017",9,5,Elements Part 4: Cloudy
S9.E6 ∙ Elements Part 5: Slime Central,"In order to save Ooo, Finn and Jake must gather the four elemental gems. They go to the Slime Kingdom and have to gather Slime Princess's gem.",8.0,1.3K,"Wed, Apr 26, 2017",9,6,Elements Part 5: Slime Central
S9.E7 ∙ Elements Part 6: Happy Warrior,"After gathering the Slime jewel, Finn and LSP go to the Fire Kingdom, to gather the Flame Jewel. Everything has turned even hotter than before.",8.4,1.3K,"Wed, Apr 26, 2017",9,7,Elements Part 6: Happy Warrior
S9.E8 ∙ Elements Part 7: Hero Heart,"After going to the Fire Kingdom, Finn becomes taken over by fire. LSP has to save him before he destroys the candy kingdom.",8.5,1.3K,"Thu, Apr 27, 2017",9,8,Elements Part 7: Hero Heart
S9.E9 ∙ Elements Part 8: Skyhooks II,After saving Finn the human during a battle between the candy kingdom and the fire kingdom it is discovered that LSP is made of anti-elemental magic and restores Ooo to it's former state.,8.8,1.3K,"Thu, Apr 27, 2017",9,9,Elements Part 8: Skyhooks II
S9.E10 ∙ Abstract,Jake struggles through the personal changes happening to him as a mysterious encounter in a dream with his brother Jermaine begins to haunt him.,8.2,1.3K,"Fri, Jul 14, 2017",9,10,Abstract
S9.E11 ∙ Ketchup,BMO and Marceline play catch up on recent events.,8.4,1.3K,"Fri, Jul 14, 2017",9,11,Ketchup
S9.E12 ∙ Fionna and Cake and Fionna,"While performing a reading of 'Fiona and Cake', Ice King is confronted by a familiar figure.",6.8,1.3K,"Fri, Jul 14, 2017",9,12,Fionna and Cake and Fionna
S9.E13 ∙ Whispers,"While safeguarding a frightened Sweet P, Finn is led into a confrontation with an old foe.",8.7,1.3K,"Fri, Jul 14, 2017",9,13,Whispers
S9.E14 ∙ Three Buckets,Finn and Fern's carefree visit to some old ruins turns disastrous.,9.0,1.4K,"Fri, Jul 14, 2017",9,14,Three Buckets
S10.E1 ∙ The Wild Hunt,"A fierce creature is terrorizing the Candy Kingdom but before Finn can slay the beast, he must first overcome a guilty conscience.",8.3,1.3K,"Sun, Sep 17, 2017",10,1,The Wild Hunt
S10.E2 ∙ Always BMO Closing,BMO and Ice King hit the road as door-to-door salesmen and stumble upon an irresistible opportunity.,7.8,1.3K,"Sun, Sep 17, 2017",10,2,Always BMO Closing
S10.E3 ∙ Son of Rap Bear,"When Flame Princess is coaxed into a high stakes battle against the indomitable Son of Rap Bear, Finn must help her search for a new strategy.",7.2,1.3K,"Sun, Sep 17, 2017",10,3,Son of Rap Bear
S10.E4 ∙ Bonnibel Bubblegum,A long lost artifact causes Princess Bubblegum to go back to the creation of the Candy Kingdom.,9.0,1.4K,"Sun, Sep 17, 2017",10,4,Bonnibel Bubblegum
S10.E5 ∙ Seventeen,A mysterious knight crashes Finn's birthday bash and presents him with a dangerous gift.,8.4,1.3K,"Sun, Dec 17, 2017",10,5,Seventeen
S10.E6 ∙ Ring of Fire,"When an old flame comes calling on urgent business, Tree Trunks reconsiders both her wild past and her tranquil present.",6.8,1.3K,"Sun, Dec 17, 2017",10,6,Ring of Fire
S10.E7 ∙ Marcy & Hunson,"After helping with the creation of a new sword, Hunson Abadeer comes back to try and regain his daughter's love.",8.1,1.3K,"Sun, Dec 17, 2017",10,7,Marcy & Hunson
S10.E8 ∙ The First Investigation,Finn and Jake are tasked with investigating reports of a haunting at Joshua and Margaret's old office.,9.0,1.4K,"Sun, Dec 17, 2017",10,8,The First Investigation
S10.E9 ∙ Blenanas,"Finn's latest literary work meets with only derision, so he sets out to prove all the naysayers wrong.",7.5,1.2K,"Sun, Mar 18, 2018",10,9,Blenanas
S10.E10 ∙ Jake the Starchild,"In order to fulfill his grand destiny, Jake is spirited away by a strangely familiar shape-shifting alien.",8.3,1.3K,"Sun, Mar 18, 2018",10,10,Jake the Starchild
S10.E11 ∙ Temple of Mars,"Searching for answers on Mars, Finn and Jermaine discover that they must first survive a cunning Martian mental trap.",8.3,1.3K,"Sun, Mar 18, 2018",10,11,Temple of Mars
S10.E12 ∙ Gumbaldia,"Finn and Jake, as ambassadors of the Candy Kingdom, travel to a powerful new city-state in a last ditch effort to stave off war.",8.7,1.3K,"Sun, Mar 18, 2018",10,12,Gumbaldia
S10.E13 ∙ Come Along With Me,"BMO narrates ""The Great Gum War"" in which Finn, Jake, Marceline, PB and the Candy Kingdom go to war against Gumbald and his army that will determine the fate of Ooo once and for all.",9.7,4.2K,"Mon, Sep 3, 2018",10,13,Come Along With Me
