episode,description,rating,number of votes,air date,Season,Episode,Title
S5.E35 ∙ Love Games,Slime Princess needs a husband or else she'll lose the Slime Kingdom to her obnoxious sister.,6.8,1.5K,"Mon, Sep 23, 2013",5,35,Love Games
S5.E36 ∙ Dungeon Train,Finn and Jake discover a train where every car is a dungeon filled with a new foe for Finn to fight.,8.1,1.6K,"Mon, Sep 30, 2013",5,36,Dungeon Train
S5.E37 ∙ Box Prince,Finn meets the Box Prince (a cat with a box on its back) and discovers the Box Kingdom has been taken over by an impostor.,7.0,1.5K,"Mon, Oct 7, 2013",5,37,Box Prince
S5.E38 ∙ Red Starved,"Finn, Jake and Marceline become trapped underground. Starving for anything red Marceline begins to lose control and turns her eyes to Finn and Jake's blood.",7.6,1.5K,"Mon, Oct 14, 2013",5,38,Red Starved
S5.E39 ∙ We Fixed a Truck,Finn and Jake find a broken down pickup truck and enlist the help of BMO and Banana Man to fix it.,7.7,1.5K,"Mon, Oct 21, 2013",5,39,We Fixed a Truck
S5.E40 ∙ Play Date,"Sick and tired of babysitting Ice King while the Ice Kingdom is being rebuilt, Finn and Jake call up an old friend to hang out with their annoying houseguest: Abracadaniel. But when Ice King and his new BFF accidentally unleash the demon Kee-Oth, Finn and Jake have to clean up their mess.",7.4,1.4K,"Mon, Nov 4, 2013",5,40,Play Date
S5.E41 ∙ The Pit,"Kee-Oth the Blood Demon has kidnapped Jake, taken him back to his dimension and thrown him in a pit. If Finn wants to rescue his friend, he's going to need Lady Rainicorn's help... and a videotape that will reveal how to open the portal to Kee-Oth's messed-up dimension.",7.8,1.5K,"Mon, Nov 18, 2013",5,41,The Pit
S5.E42 ∙ James,"Finn and Jake accompany Princess Bubblegum on her study of the Desert of Wonders. However, they are soon attacked by goo monsters, and Finn and Jake think that Bubblegum's robot helper James is to blame.",7.7,1.5K,"Mon, Nov 25, 2013",5,42,James
S5.E43 ∙ Root Beer Guy,"Root beer guy must put aside his common everyday life to search for the truth behind the murders, lies, and deceit in the Candy Kingdom.",8.4,1.6K,"Mon, Dec 2, 2013",5,43,Root Beer Guy
S5.E44 ∙ Apple Wedding,Tree Trunks and Mr. Pig are getting married.,7.2,1.4K,"Mon, Jan 13, 2014",5,44,Apple Wedding
